family,seed,cumulative_return,sharpe,max_drawdown,round_trips,exposure,final_equity
rawctl_corrected,1,-0.155074,-0.564364,-0.212977,44,0.1898,84492.60
rawctl_corrected,2,-0.206111,-0.758847,-0.272243,31,0.2182,79388.90
rawctl_corrected,3,0.054900,0.277195,-0.204067,34,0.2884,105490.00
rawctl_corrected,7,0.154364,0.596978,-0.090987,35,0.3169,115436.40
rawctl_corrected,11,0.090005,0.443053,-0.148824,46,0.3757,109000.50
rawctl_corrected,13,-0.034358,-0.065956,-0.171696,29,0.2258,96564.20
rawctl_corrected,17,0.323779,1.186077,-0.104658,41,0.277,132377.90
rawctl_corrected,19,0.291503,1.034427,-0.108556,44,0.4383,129150.30
rawctl_corrected,23,0.011708,0.108074,-0.174748,56,0.2941,101170.80
rawctl_corrected,42,0.391462,1.535612,-0.087204,36,0.3017,139146.20
exp_002_corrected,1,0.096627,0.529073,-0.069606,22,0.1157,109662.70
exp_002_corrected,2,0.022597,0.181544,-0.072773,14,0.0702,102259.70
exp_002_corrected,3,0.288844,1.002582,-0.120450,40,0.4175,128884.40
exp_002_corrected,7,0.145316,0.855393,-0.071623,16,0.1214,114531.60
exp_002_corrected,11,0.151484,1.286218,-0.029445,3,0.055,115148.40
exp_002_corrected,13,0.067564,0.264252,-0.231966,46,0.5958,106756.40
exp_002_corrected,17,0.170461,0.848412,-0.072708,39,0.1537,117046.10
exp_002_corrected,19,0.122254,0.517720,-0.158632,37,0.1992,112225.40
exp_002_corrected,23,0.128231,0.820707,-0.063243,25,0.203,112823.10
exp_002_corrected,42,0.207559,1.176651,-0.099025,23,0.241,120755.90
